RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.,R64,R32,S16,E8,F4,F2,CHAMP,BARTHAG
113,Florida,SEC,120.6,100.2,51.8,49.3,15.7,14.5,37.3,28.8,38.4,34.8,71.5,71.2,51.8,49.5,34.5,32.6,1,0,0,0,0,0,0,0.8912
28,Florida Atlantic,Amer,116.5,102.4,54.7,49.6,16.2,16.4,33.5,29.3,34.8,27.3,72.2,72.7,56,49.2,35.1,33.6,1,0,0,0,0,0,0,0.8296
7,Gonzaga,WCC,123,98.3,57.1,46.8,14.1,16.1,33.3,27.5,31.3,25.4,72.8,72.4,58.3,44.6,36.3,33.8,1,1,1,0,0,0,0,0.9132
278,Grambling St.,SWAC,98.8,106.3,48.1,49.7,20,18.8,27.9,32.8,38.8,33.8,70.9,72.8,46.9,48.8,34,34.3,1,0,0,0,0,0,0,0.2678
139,Grand Canyon,WAC,111,98.8,51.4,45.8,17.8,19.8,34.1,30.2,46.7,34.1,74.9,70.6,52.1,44.5,33.5,32.1,1,1,0,0,0,0,0,0.7803
186,Houston,B12,120.3,86.5,50.5,43.9,13.7,24.4,36.9,30.9,30.7,39.8,69.1,67.5,49.4,43.1,34.9,30,1,1,1,0,0,0,0,0.9778
31,Illinois,B10,126.9,101.8,54.4,47.9,15,12.3,36.2,26.4,37.1,26.4,74.4,71.9,55.3,46.5,35.2,34.3,1,1,1,1,0,0,0,0.9187
93,Iowa St.,B12,114.1,87.4,52.2,47.3,15.5,25.5,31.4,29.4,35.3,34.3,69.9,71.5,51.6,47.2,35.6,31.5,1,1,1,0,0,0,0,0.952
45,James Madison,SB,111.7,100.5,53.9,47.2,14.9,19.7,31.8,27.7,34.9,35.1,70,72.8,53.8,48.6,36,29.7,1,1,0,0,0,0,0,0.7721
51,Kansas,B12,113.7,94.1,53.5,48.3,16.5,16.5,25.7,26.5,32.5,28.5,72.2,69.4,54.7,45.8,33.6,34.6,1,1,0,0,0,0,0,0.9078
5,Kentucky,SEC,122.7,102.6,57.2,49.6,14.2,15.9,28.9,30.3,30.4,33.5,77.2,71.5,54.7,49.4,40.9,33.2,1,0,0,0,0,0,0,0.8923
265,Long Beach St.,BW,105.1,107.5,48.5,51.1,17.1,18.3,33.2,29.4,37.8,32.3,70.8,72.4,49.3,49.9,30.9,35.1,1,0,0,0,0,0,0,0.4255
250,Longwood,BSth,104,105.5,49.1,51.9,18.3,19.4,36.3,25.9,39.5,36.2,69.3,69.7,48.4,51.4,34,35.1,1,0,0,0,0,0,0,0.484
15,Marquette,BE,119.3,95.2,55.5,49.7,14.3,21.1,25.8,31,25.2,27,70.7,75.4,56.6,49.3,36,33.6,1,1,1,0,0,0,0,0.9339
40,McNeese St.,Slnd,110.9,101.5,54.2,48.3,14,22.9,31.9,30.6,40.1,33.7,69.6,71.6,52.2,46.6,38.7,33.4,1,0,0,0,0,0,0,0.7451
124,Michigan St.,B10,113.2,93.3,51.6,48,15,18.5,29.8,28.5,29.3,32.4,70.8,71.5,50.5,47.4,36.2,32.6,1,1,0,0,0,0,0,0.9034
140,Mississippi St.,SEC,112.2,95.4,51.4,48,18.9,18.4,35.4,27.9,37.4,31.8,67,75.2,53.4,50.3,32.2,29.8,1,0,0,0,0,0,0,0.8765
36,Morehead St.,OVC,107.3,103.7,54.2,46.4,18.2,15.4,31.9,26.5,30.6,32.3,71.5,75.8,55.1,45.8,35.3,31.8,1,0,0,0,0,0,0,0.5876
62,Nebraska,B10,115.9,96.7,53.1,46.7,15.8,16.2,27.6,30.3,32.6,27.7,76,70.1,52.8,45.2,35.7,32.5,1,0,0,0,0,0,0,0.8868
58,Nevada,MWC,115.1,97.8,53.2,48.4,15.2,17.4,27.3,26.9,45,34.2,72.1,70.1,52.5,49.1,36.4,31.6,1,0,0,0,0,0,0,0.8537
185,New Mexico,MWC,114.1,95.7,50.5,48.1,14,19.3,33.5,27,33.2,33.4,71.6,74,51.1,49.2,32.7,30.7,1,0,0,0,0,0,0,0.8898
119,North Carolina,ACC,118.4,93.9,51.7,46.4,14.1,14.8,32.6,23.3,36.7,28.2,75.6,74,50.6,45.8,35.8,31.7,1,1,1,0,0,0,0,0.9364
156,North Carolina St.,ACC,115,101.1,50.9,50.2,13.7,17.6,28.8,29.2,32.7,31.4,73.6,73.5,50.3,49.4,34.7,34.4,1,1,1,1,1,0,0,0.8004
75,Northwestern,B10,115.5,98.6,52.6,51.5,13.4,18.8,25.8,27.8,29.2,39.3,75.2,72.1,49.2,51.4,39,34.5,1,1,0,0,0,0,0,0.8553
109,Oakland,Horz,108.7,104.4,51.9,50.6,15.9,16.2,30.4,28.8,30.8,26.9,75.1,73.5,51,50.5,35.5,33.9,1,1,0,0,0,0,0,0.5847
107,Oregon,P12,114.2,99.5,51.9,51.5,14.7,17.8,28.6,27.3,32,32.3,71.9,72.3,52.6,51,33.8,34.9,1,1,0,0,0,0,0,0.8134
12,Purdue,B10,126.8,94.9,56.2,47.3,16.3,13.8,37.9,24.2,42.4,23,72.1,72.5,53.4,47.5,40.9,31.4,1,1,1,1,1,1,0,0.9659
68,Saint Mary's,WCC,115.5,93.9,52.8,45.1,16,16.7,38.7,22.3,28,33.4,67.2,71.6,52.7,43.8,35.3,32.3,1,0,0,0,0,0,0,0.917
353,Saint Peter's,MAAC,96.8,101.1,44.6,47.1,19.2,20.4,34.5,29.9,38,42.5,71.8,70.5,42.3,46.6,33.2,32.1,1,0,0,0,0,0,0,0.401
8,Samford,SC,112.4,103,56.8,50.5,17.8,21.7,30.1,31.9,36.2,37.3,72.1,68.9,55,50.3,39.5,33.8,1,0,0,0,0,0,0,0.7364
202,San Diego St.,MWC,112.4,93.6,50.2,47.1,16.1,18.1,32.8,27.9,37.3,33.4,73.3,70.3,51.7,47.7,31.8,30.8,1,1,1,0,0,0,0,0.8745
159,South Carolina,SEC,114.9,100,50.9,48.4,15.5,14.9,32.8,27.9,31.8,31.6,71.1,73.4,50.9,47.3,33.9,33.9,1,0,0,0,0,0,0,0.8368
19,South Dakota St.,Sum,108.1,105.1,55.2,51.3,16.6,16.4,24.4,25.1,30.1,27,71.8,74.2,55.6,49.5,36.4,35.5,1,0,0,0,0,0,0,0.5675
69,Stetson,ASun,107.8,114.2,52.8,52.3,15.9,13.5,27.4,31.5,31.8,25.5,76.3,73.4,52.1,52.6,35.9,34.6,1,0,0,0,0,0,0,0.3568
132,TCU,B12,114,98,51.5,50.7,18,20.6,35.9,28.4,35,35.4,73.1,70.4,50.8,51.3,35.4,33,1,0,0,0,0,0,0,0.8566
142,Tennessee,SEC,115.3,90.2,51.3,45,14.9,18.8,32.8,28.1,34.4,35.4,75,71,51.6,44,33.9,30.9,1,1,1,1,0,0,0,0.9383
64,Texas,B12,116.6,96.4,53,48.1,16.9,18.8,29.9,30.1,30.2,34,75.7,72.1,53.1,47,35.4,33.5,1,1,0,0,0,0,0,0.8899
340,Texas A&M,SEC,117.6,99.9,45.7,50.5,14.1,16.7,42.2,27.9,38.6,31.9,70.7,71.4,46.8,50.3,29.3,33.8,1,1,0,0,0,0,0,0.8399
78,Texas Tech,B12,116.8,99.1,52.6,49.2,16.5,17,30.2,30.3,34.2,27.2,78,71.4,51.6,49.8,35.9,32.2,1,0,0,0,0,0,0,0.8732
215,UAB,Amer,113.1,106.4,50,51,16.8,16.2,35.4,31.3,40.6,31.5,74.3,72.4,50.1,50.2,33.1,34.8,1,0,0,0,0,0,0,0.6412
43,Utah St.,MWC,114.9,101,54,49.8,15.5,16.4,27.8,26.6,39,30.6,71.8,72.6,56.7,52.8,32.5,29.7,1,1,0,0,0,0,0,0.8152
122,Vermont,AE,104.1,98.6,51.6,46.8,13.9,15.1,22.3,23.5,29.2,26.8,71.8,72.3,52.9,46.5,33.3,31.5,1,0,0,0,0,0,0,0.6515
348,Wagner,NEC,96.1,105.2,45.1,48.8,15.7,16.8,28.8,27.7,26.4,30.2,70,68.6,43.1,51,32.2,30.4,1,0,0,0,0,0,0,0.2362
112,Washington St.,P12,112.9,96.5,51.8,47.2,16.4,15.7,32.9,25,31.6,32.3,70.4,73.1,52.2,46.5,33.9,32.5,1,1,0,0,0,0,0,0.8488
121,Western Kentucky,CUSA,105.4,101.7,51.7,48.6,18.4,18.4,28.7,26.7,32.1,33,72.1,68.2,51.8,48.6,34.3,32.4,1,0,0,0,0,0,0,0.5869
92,Wisconsin,B10,118.6,98.9,52.2,52,14.9,16.9,30.2,24.5,33.8,33.8,75.5,72.4,52.2,50.2,34.9,36.9,1,0,0,0,0,0,0,0.9006
95,Yale,Ivy,109.9,101,52.1,50.4,14.3,16.2,27.8,24.2,27.8,29.4,70.5,73.9,51.9,49.4,35,34.5,1,1,0,0,0,0,0,0.7349
